,SEASON_ID,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,CFID,CFPARAMS
10,42002,1610612755,Philadelphia 76ers,12,6,6,0.5,48.8,33.7,75.9,0.443,3.8,10.7,0.352,21.0,26.2,0.803,12.1,29.8,41.8,18.9,14.8,7.2,2.5,5.4,23.9,0.1,92.1,0.8,10,Philadelphia 76ers
11,42002,1610612756,Phoenix Suns,6,2,4,0.333,48.8,32.3,83.7,0.386,4.7,15.7,0.298,15.8,22.2,0.714,13.3,29.7,43.0,16.2,16.2,9.5,5.8,6.8,29.2,0.0,85.2,-5.3,10,Phoenix Suns
12,42002,1610612757,Portland Trail Blazers,7,3,4,0.429,48.0,36.4,79.0,0.461,6.3,17.0,0.37,22.1,29.4,0.752,15.0,29.7,44.7,23.3,13.7,6.3,3.0,4.3,22.6,0.1,101.3,1.0,10,Portland Trail Blazers
13,42002,1610612758,Sacramento Kings,12,7,5,0.583,48.8,39.3,85.5,0.459,6.8,18.4,0.367,22.7,29.2,0.777,12.8,31.5,44.3,22.6,13.4,7.5,4.8,5.6,23.0,0.1,107.9,2.3,10,Sacramento Kings
14,42002,1610612759,San Antonio Spurs,24,16,8,0.667,48.2,33.8,76.8,0.441,5.3,15.2,0.351,21.8,30.6,0.712,12.1,33.4,45.5,20.7,15.2,7.8,6.9,5.7,21.4,0.0,94.8,5.5,10,San Antonio Spurs
15,42002,1610612762,Utah Jazz,5,1,4,0.2,48.0,33.8,77.8,0.434,1.8,6.8,0.265,23.6,30.0,0.787,14.0,25.2,39.2,21.0,16.4,7.2,5.6,5.8,24.8,0.2,93.0,-10.6,10,Utah Jazz
0,42003,1610612738,Boston Celtics,4,0,4,0.0,48.0,28.8,70.5,0.408,5.3,15.8,0.333,21.8,27.0,0.806,9.3,31.8,41.0,17.5,19.8,6.5,5.0,6.0,20.3,0.0,84.5,-16.8,10,Boston Celtics
1,42003,1610612742,Dallas Mavericks,5,1,4,0.2,48.0,38.2,96.4,0.396,5.0,17.4,0.287,18.2,23.6,0.771,20.4,31.8,52.2,20.6,13.6,9.2,6.6,4.6,21.6,0.0,99.6,1.4,10,Dallas Mavericks
2,42003,1610612743,Denver Nuggets,5,1,4,0.2,48.0,37.2,87.2,0.427,4.4,13.0,0.338,11.8,16.8,0.702,14.4,28.8,43.2,20.4,14.2,7.8,2.8,6.0,24.2,0.0,90.6,-4.0,10,Denver Nuggets
3,42003,1610612765,Detroit Pistons,23,16,7,0.696,48.9,31.4,76.3,0.412,4.2,13.9,0.304,20.1,27.3,0.734,12.9,32.0,44.8,19.4,14.9,8.0,7.1,5.1,22.5,0.2,87.1,6.4,10,Detroit Pistons
4,42003,1610612745,Houston Rockets,5,1,4,0.2,49.0,31.8,74.4,0.427,4.6,15.2,0.303,16.4,22.8,0.719,9.6,34.8,44.4,17.2,16.8,5.2,3.6,4.0,22.8,0.0,84.6,-5.4,10,Houston Rockets
5,42003,1610612754,Indiana Pacers,16,10,6,0.625,48.0,30.7,75.1,0.408,5.9,17.8,0.333,18.2,24.8,0.733,10.8,31.3,42.1,17.9,13.6,8.7,6.3,6.3,23.5,0.1,85.5,4.4,10,Indiana Pacers
6,42003,1610612747,Los Angeles Lakers,22,13,9,0.591,48.5,33.0,74.5,0.444,5.0,15.5,0.321,17.1,27.9,0.612,10.2,30.0,40.2,22.6,12.6,7.3,4.2,3.4,22.9,0.1,88.1,0.9,10,Los Angeles Lakers
7,42003,1610612763,Memphis Grizzlies,4,0,4,0.0,48.0,30.8,72.5,0.424,3.8,12.8,0.294,18.3,23.5,0.777,9.5,25.0,34.5,14.5,14.3,9.5,5.0,6.3,25.0,0.3,83.5,-14.0,10,Memphis Grizzlies
8,42003,1610612748,Miami Heat,13,6,7,0.462,48.0,30.5,74.8,0.408,3.7,13.4,0.276,19.3,25.6,0.754,11.4,30.5,41.8,16.3,14.2,7.5,4.1,5.0,24.4,0.2,84.1,0.2,10,Miami Heat
9,42003,1610612749,Milwaukee Bucks,5,1,4,0.2,48.0,32.4,77.8,0.416,4.8,14.4,0.333,16.0,21.6,0.741,11.2,28.0,39.2,20.6,16.4,8.2,4.2,8.0,22.4,0.2,85.6,-12.6,10,Milwaukee Bucks
10,42003,1610612750,Minnesota Timberwolves,18,10,8,0.556,48.3,33.9,77.1,0.441,5.9,15.2,0.387,18.2,23.3,0.78,9.7,32.3,42.0,19.3,15.0,6.6,5.2,3.4,24.3,0.1,91.9,-0.1,10,Minnesota Timberwolves
11,42003,1610612751,New Jersey Nets,11,7,4,0.636,49.4,30.8,72.8,0.423,4.5,16.4,0.272,22.1,30.3,0.73,10.6,32.1,42.7,20.5,18.5,8.6,5.4,5.8,26.0,0.2,88.2,2.5,10,New Jersey Nets
12,42003,1610612740,New Orleans Hornets,7,3,4,0.429,48.0,29.3,76.3,0.384,5.9,18.6,0.315,16.1,20.7,0.779,12.3,30.0,42.3,19.3,17.1,6.1,4.6,4.0,20.9,0.1,80.6,-3.0,10,New Orleans Hornets
13,42003,1610612752,New York Knicks,4,0,4,0.0,48.0,30.8,80.0,0.384,4.3,14.5,0.293,18.3,25.3,0.723,12.3,26.3,38.5,19.5,16.3,9.3,4.0,5.0,28.0,0.0,84.0,-12.8,10,New York Knicks
14,42003,1610612758,Sacramento Kings,12,7,5,0.583,48.4,35.3,82.9,0.425,5.8,16.8,0.348,18.8,24.8,0.758,10.9,33.1,44.0,22.8,14.3,9.4,3.7,6.3,21.1,0.0,95.2,0.1,10,Sacramento Kings
