,SEASON_ID,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,CFID,CFPARAMS
7,42010,1610612763,Memphis Grizzlies,13,7,6,0.538,49.9,36.7,84.0,0.437,3.8,12.1,0.318,21.4,28.2,0.76,12.5,30.6,43.1,18.8,13.1,8.0,6.0,6.8,23.6,23.7,98.6,-0.7,10,Memphis Grizzlies
8,42010,1610612748,Miami Heat,21,14,7,0.667,48.5,32.6,73.3,0.445,5.9,17.9,0.331,21.6,27.8,0.777,10.1,30.9,41.0,16.5,13.9,7.3,6.0,4.2,19.2,21.5,92.8,2.7,10,Miami Heat
9,42010,1610612740,New Orleans Hornets,6,2,4,0.333,48.0,32.8,71.8,0.457,4.5,14.0,0.321,19.2,25.8,0.742,7.7,25.8,33.5,20.2,12.8,7.2,3.0,5.8,23.7,21.2,89.3,-7.2,10,New Orleans Hornets
10,42010,1610612752,New York Knicks,4,0,4,0.0,48.0,32.0,83.0,0.386,8.3,23.8,0.347,18.5,24.8,0.747,14.5,26.0,40.5,16.8,15.3,6.5,6.8,5.0,18.8,21.0,90.8,-8.5,10,New York Knicks
11,42010,1610612760,Oklahoma City Thunder,17,9,8,0.529,49.5,35.3,79.7,0.443,6.3,19.9,0.316,25.6,31.4,0.816,13.1,32.9,45.9,17.6,15.4,6.8,7.6,5.2,25.0,23.1,102.5,1.9,10,Oklahoma City Thunder
12,42010,1610612753,Orlando Magic,6,2,4,0.333,48.0,31.0,75.8,0.409,6.2,23.5,0.262,20.5,27.8,0.737,11.8,30.5,42.3,14.5,12.8,6.5,4.0,3.8,21.5,24.2,88.7,1.8,10,Orlando Magic
13,42010,1610612755,Philadelphia 76ers,5,1,4,0.2,48.0,33.8,81.6,0.414,6.4,16.4,0.39,12.6,17.4,0.724,10.6,30.0,40.6,20.4,10.6,6.4,3.6,6.2,20.4,14.8,86.6,-7.4,10,Philadelphia 76ers
14,42010,1610612757,Portland Trail Blazers,6,2,4,0.333,48.0,33.2,73.2,0.453,5.0,16.7,0.3,16.8,21.5,0.783,9.2,28.5,37.7,17.0,11.5,5.7,5.2,3.7,20.8,19.5,88.2,-5.2,10,Portland Trail Blazers
15,42010,1610612759,San Antonio Spurs,6,2,4,0.333,48.8,33.7,77.2,0.436,5.3,18.2,0.294,21.7,28.5,0.76,10.2,31.5,41.7,17.8,14.3,7.3,5.8,4.8,21.5,24.5,94.3,-3.2,10,San Antonio Spurs
0,42011,1610612737,Atlanta Hawks,6,2,4,0.333,48.8,31.8,79.3,0.401,5.8,18.8,0.31,12.7,16.2,0.784,10.0,32.5,42.5,17.5,15.3,5.5,3.3,6.2,19.8,18.8,82.2,-4.7,10,Atlanta Hawks
1,42011,1610612738,Boston Celtics,20,11,9,0.55,48.8,33.8,77.2,0.438,4.7,16.3,0.285,17.3,21.6,0.799,8.0,31.9,39.9,19.8,13.0,8.2,4.9,4.4,21.7,19.8,89.5,1.0,10,Boston Celtics
2,42011,1610612741,Chicago Bulls,6,2,4,0.333,48.0,34.0,80.7,0.421,4.3,12.7,0.342,12.0,18.5,0.649,11.5,35.3,46.8,22.5,14.3,5.2,6.7,6.3,20.5,18.8,84.3,-1.7,10,Chicago Bulls
3,42011,1610612742,Dallas Mavericks,4,0,4,0.0,48.0,31.5,78.0,0.404,8.0,21.5,0.372,22.3,26.8,0.832,10.5,30.0,40.5,15.5,14.5,8.0,3.5,7.3,20.8,24.3,93.3,-6.5,10,Dallas Mavericks
4,42011,1610612743,Denver Nuggets,7,3,4,0.429,48.0,38.4,89.3,0.43,5.3,19.0,0.278,14.6,20.3,0.718,15.4,32.3,47.7,20.9,11.1,7.0,6.9,9.4,21.0,18.7,96.7,0.4,10,Denver Nuggets
5,42011,1610612754,Indiana Pacers,11,6,5,0.545,48.5,33.7,79.5,0.424,5.7,17.9,0.32,17.7,23.0,0.771,12.4,31.6,44.0,16.3,15.1,6.9,5.5,5.5,22.0,20.4,90.9,1.4,10,Indiana Pacers
6,42011,1610612746,Los Angeles Clippers,11,4,7,0.364,48.5,34.5,75.3,0.458,6.2,16.4,0.378,15.8,23.7,0.667,8.7,28.1,36.8,17.3,14.7,9.5,6.5,5.0,24.1,21.5,90.9,-4.6,10,Los Angeles Clippers
7,42011,1610612747,Los Angeles Lakers,12,5,7,0.417,48.0,35.2,83.2,0.423,5.3,17.3,0.304,18.4,23.7,0.778,14.2,30.7,44.8,18.8,12.5,5.8,7.8,7.4,19.7,21.7,94.0,-4.2,10,Los Angeles Lakers
8,42011,1610612763,Memphis Grizzlies,7,3,4,0.429,48.7,32.6,76.3,0.427,3.4,11.9,0.289,22.9,30.7,0.744,13.4,29.3,42.7,16.3,15.4,7.1,4.9,6.1,23.3,25.6,91.4,0.7,10,Memphis Grizzlies
9,42011,1610612748,Miami Heat,23,16,7,0.696,48.4,35.0,76.0,0.46,6.8,19.7,0.347,20.6,27.7,0.744,10.2,30.3,40.4,17.5,13.0,7.3,5.0,3.8,20.6,23.9,97.3,7.1,10,Miami Heat
10,42011,1610612752,New York Knicks,5,1,4,0.2,48.0,30.6,73.4,0.417,5.0,18.2,0.275,16.6,21.8,0.761,12.4,28.0,40.4,12.6,18.4,6.0,2.2,3.8,24.2,19.8,82.8,-14.0,10,New York Knicks
11,42011,1610612760,Oklahoma City Thunder,20,13,7,0.65,48.0,37.2,80.0,0.465,6.8,19.2,0.355,20.1,24.5,0.82,9.3,30.5,39.8,18.0,11.6,8.7,6.9,4.1,22.4,20.9,101.3,4.0,10,Oklahoma City Thunder
12,42011,1610612753,Orlando Magic,5,1,4,0.2,49.0,31.0,77.8,0.398,8.4,24.6,0.341,13.4,19.0,0.705,9.8,28.6,38.4,17.2,14.0,6.0,4.4,6.2,19.0,19.0,83.8,-10.8,10,Orlando Magic
13,42011,1610612755,Philadelphia 76ers,13,7,6,0.538,48.0,32.1,78.1,0.411,4.0,13.2,0.304,17.5,24.4,0.719,10.8,31.0,41.8,18.2,11.5,7.6,5.3,6.0,18.7,21.0,85.7,-1.2,10,Philadelphia 76ers
14,42011,1610612759,San Antonio Spurs,14,10,4,0.714,48.0,37.9,78.9,0.481,9.4,22.6,0.416,16.7,22.9,0.731,8.6,32.0,40.6,22.9,14.3,6.5,4.6,7.0,20.4,20.9,102.0,5.9,10,San Antonio Spurs
15,42011,1610612762,Utah Jazz,4,0,4,0.0,48.0,32.8,85.8,0.382,2.3,11.3,0.2,18.5,26.3,0.705,16.0,32.5,48.5,16.8,13.5,6.5,6.8,5.5,20.3,19.8,86.3,-16.0,10,Utah Jazz
