ATL,2005
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ATL,2005
9,Eddie House,32,56,1,978,128,321,.399,68,175,.389,60,146,.411,.505,38,40,.950,9,83,92,62,32,3,29,68,362,MIA,2011
10,Mike Miller,30,41,2,838,81,202,.401,43,118,.364,38,84,.452,.507,23,34,.676,38,146,184,51,20,2,41,88,228,MIA,2011
11,Erick Dampier,35,51,22,815,52,89,.584,0,1,.000,52,88,.591,.584,24,44,.545,53,124,177,22,14,47,32,82,128,MIA,2011
12,Juwan Howard,37,57,0,592,55,125,.440,0,0,,55,125,.440,.440,29,35,.829,36,86,122,23,10,4,25,61,139,MIA,2011
13,Mike Bibby,32,22,12,582,55,126,.437,40,88,.455,15,38,.395,.595,10,16,.625,2,47,49,55,11,3,32,47,160,MIA,2011
14,Udonis Haslem,30,13,0,345,44,86,.512,0,0,,44,86,.512,.512,16,20,.800,29,77,106,6,7,3,14,39,104,MIA,2011
15,Jamaal Magloire,32,18,0,158,13,22,.591,0,0,,13,22,.591,.591,9,18,.500,17,44,61,3,4,2,5,26,35,MIA,2011
16,Jerry Stackhouse,36,7,1,50,3,12,.250,1,4,.250,2,8,.250,.292,5,7,.714,1,6,7,3,0,2,2,3,12,MIA,2011
17,Dexter Pittman,22,2,0,11,1,3,.333,0,0,,1,3,.333,.333,0,0,,1,2,3,0,0,0,2,2,2,MIA,2011
,Team Totals,,82,,19780,3031,6301,.481,547,1479,.370,2484,4822,.515,.524,1760,2288,.769,790,2666,3456,1639,544,430,1142,1674,8369,MIA,2011
MIA,2012
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MIA,2012
1,LeBron James,27,62,62,2326,621,1169,.531,54,149,.362,567,1020,.556,.554,387,502,.771,94,398,492,387,115,50,213,96,1683,MIA,2012
2,Chris Bosh,27,57,57,2007,393,807,.487,10,35,.286,383,772,.496,.493,229,279,.821,94,358,452,103,51,45,117,128,1025,MIA,2012
3,Mario Chalmers,25,64,64,1825,223,498,.448,101,260,.388,122,238,.513,.549,80,101,.792,16,155,171,222,97,11,142,166,627,MIA,2012
4,Dwyane Wade,30,49,49,1625,416,837,.497,15,56,.268,401,781,.513,.506,235,297,.791,73,164,237,225,82,63,129,110,1082,MIA,2012
5,Udonis Haslem,31,64,10,1589,151,357,.423,0,0,,151,357,.423,.423,83,102,.814,117,353,470,42,35,24,60,142,385,MIA,2012
6,Shane Battier,33,65,10,1499,113,292,.387,62,183,.339,51,109,.468,.493,23,37,.622,56,100,156,82,64,33,37,105,311,MIA,2012
7,Joel Anthony,29,64,51,1349,85,152,.559,0,0,,85,152,.559,.559,49,71,.690,100,150,250,9,36,84,45,126,219,MIA,2012
8,Norris Cole,23,65,2,1260,177,450,.393,21,76,.276,156,374,.417,.417,66,85,.776,21,70,91,133,44,2,105,124,441,MIA,2012
9,Mike Miller,31,39,2,752,91,209,.435,53,117,.453,38,92,.413,.562,2,5,.400,22,106,128,42,14,6,30,58,237,MIA,2012
10,James Jones,31,51,10,666,57,150,.380,46,114,.404,11,36,.306,.533,25,30,.833,6,43,49,19,17,9,10,45,185,MIA,2012
11,Terrel Harris,24,22,1,318,29,83,.349,8,39,.205,21,44,.477,.398,14,21,.667,18,33,51,26,9,2,25,34,80,MIA,2012
12,Dexter Pittman,23,35,6,301,44,94,.468,0,0,,44,94,.468,.468,18,28,.643,27,44,71,9,8,8,17,73,106,MIA,2012
13,Ronny Turiaf,29,13,5,221,16,30,.533,0,1,.000,16,29,.552,.533,13,22,.591,19,39,58,5,8,14,8,32,45,MIA,2012
14,Juwan Howard,38,28,0,190,17,55,.309,0,0,,17,55,.309,.309,8,10,.800,18,29,47,10,4,1,20,18,42,MIA,2012
15,Eddy Curry,29,14,1,83,12,26,.462,0,0,,12,26,.462,.462,6,8,.750,4,8,12,1,0,2,10,17,30,MIA,2012
16,Mickell Gladness,25,8,0,28,1,3,.333,0,0,,1,3,.333,.333,0,0,,1,10,11,2,1,1,3,8,2,MIA,2012
,Team Totals,,66,,16040,2446,5212,.469,370,1030,.359,2076,4182,.496,.505,1238,1598,.775,686,2060,2746,1317,585,355,1002,1282,6500,MIA,2012
MIA,2013
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MIA,2013
1,LeBron James,28,76,76,2877,765,1354,.565,103,254,.406,662,1100,.602,.603,403,535,.753,97,513,610,551,129,67,226,110,2036,MIA,2013
2,Chris Bosh,28,74,74,2454,485,907,.535,21,74,.284,464,833,.557,.546,241,302,.798,131,370,501,123,66,101,128,168,1232,MIA,2013
3,Dwyane Wade,31,69,69,2391,569,1093,.521,17,66,.258,552,1027,.537,.528,308,425,.725,86,258,344,352,128,56,194,140,1463,MIA,2013
4,Mario Chalmers,26,77,77,2068,227,529,.429,123,301,.409,104,228,.456,.545,89,112,.795,19,152,171,273,118,12,119,196,666,MIA,2013
5,Ray Allen,37,79,0,2035,292,651,.449,139,332,.419,153,319,.480,.555,140,158,.886,40,177,217,135,67,15,103,129,863,MIA,2013
6,Shane Battier,34,72,20,1786,152,362,.420,136,316,.430,16,46,.348,.608,32,38,.842,37,128,165,72,41,55,34,149,472,MIA,2013
7,Norris Cole,24,80,4,1590,179,425,.421,35,98,.357,144,327,.440,.462,52,80,.650,18,112,130,164,57,7,104,155,445,MIA,2013
8,Udonis Haslem,32,75,59,1414,129,251,.514,0,0,,129,251,.514,.514,32,45,.711,97,307,404,38,30,15,45,173,290,MIA,2013
9,Mike Miller,32,59,17,900,100,231,.433,73,175,.417,27,56,.482,.591,8,11,.727,18,139,157,99,21,4,35,63,281,MIA,2013
10,Rashard Lewis,33,55,9,792,103,249,.414,51,131,.389,52,118,.441,.516,28,45,.622,19,102,121,30,21,14,33,67,285,MIA,2013
11,Chris Andersen,34,42,0,624,71,123,.577,2,3,.667,69,120,.575,.585,63,93,.677,57,115,172,17,16,44,24,89,207,MIA,2013
12,Joel Anthony,30,62,3,566,35,68,.515,0,0,,35,68,.515,.515,17,28,.607,45,70,115,13,13,42,22,49,87,MIA,2013
13,James Jones,32,38,0,221,21,61,.344,16,53,.302,5,8,.625,.475,2,4,.500,0,22,22,13,2,6,3,16,60,MIA,2013
14,Juwan Howard,39,7,2,51,10,19,.526,0,0,,10,19,.526,.526,1,1,1.000,0,8,8,6,0,0,4,9,21,MIA,2013
15,Jarvis Varnado,24,8,0,40,1,3,.333,0,0,,1,3,.333,.333,0,0,,1,5,6,2,0,2,5,9,2,MIA,2013
16,Josh Harrellson,23,6,0,31,4,9,.444,1,5,.200,3,4,.750,.500,1,2,.500,3,4,7,0,1,1,3,4,10,MIA,2013
17,Terrel Harris,25,7,0,29,2,8,.250,0,1,.000,2,7,.286,.250,6,8,.750,4,5,9,2,0,0,4,3,10,MIA,2013
18,Dexter Pittman,24,4,0,12,3,5,.600,0,0,,3,5,.600,.600,0,0,,4,3,7,0,0,0,2,4,6,MIA,2013
,Team Totals,,82,,19880,3148,6348,.496,717,1809,.396,2431,4539,.536,.552,1423,1887,.754,676,2490,3166,1890,710,441,1143,1533,8436,MIA,2013
MIA,2014
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MIA,2014
1,LeBron James,29,77,77,2902,767,1353,.567,116,306,.379,651,1047,.622,.610,439,585,.750,81,452,533,488,121,26,270,126,2089,MIA,2014
2,Chris Bosh,29,79,79,2531,492,953,.516,74,218,.339,418,735,.569,.555,223,272,.820,98,424,522,87,80,78,125,192,1281,MIA,2014
3,Mario Chalmers,27,73,73,2178,254,560,.454,87,226,.385,167,334,.500,.531,121,163,.742,41,173,214,357,119,16,162,210,716,MIA,2014
4,Norris Cole,25,82,6,2014,207,500,.414,60,174,.345,147,326,.451,.474,53,68,.779,17,143,160,248,77,5,127,156,527,MIA,2014
5,Ray Allen,38,73,9,1936,240,543,.442,116,309,.375,124,234,.530,.549,105,116,.905,23,182,205,143,54,8,84,115,701,MIA,2014
6,Dwyane Wade,32,54,53,1775,415,761,.545,9,32,.281,406,729,.557,.551,189,258,.733,60,181,241,252,79,29,161,106,1028,MIA,2014
7,Shane Battier,35,73,56,1468,105,275,.382,73,210,.348,32,65,.492,.515,15,23,.652,34,104,138,63,50,39,21,124,298,MIA,2014
8,Chris Andersen,35,72,0,1396,177,275,.644,3,12,.250,174,263,.662,.649,120,169,.710,129,250,379,19,32,97,53,162,477,MIA,2014
9,Rashard Lewis,34,60,6,971,98,236,.415,46,134,.343,52,102,.510,.513,26,33,.788,24,86,110,57,53,8,35,90,268,MIA,2014
10,Michael Beasley,25,55,2,831,177,355,.499,21,54,.389,156,301,.518,.528,61,79,.772,31,141,172,42,23,21,57,93,436,MIA,2014
11,Udonis Haslem,33,46,18,653,74,146,.507,0,0,,74,146,.507,.507,25,44,.568,42,133,175,13,11,15,24,79,173,MIA,2014
12,Toney Douglas,27,27,17,410,41,104,.394,12,43,.279,29,61,.475,.452,20,26,.769,14,47,61,49,13,3,18,47,114,MIA,2014
13,Roger Mason,33,25,2,260,25,67,.373,17,48,.354,8,19,.421,.500,7,7,1.000,1,21,22,19,6,1,9,26,74,MIA,2014
14,James Jones,33,20,6,236,31,68,.456,28,54,.519,3,14,.214,.662,7,11,.636,2,21,23,9,3,4,4,6,97,MIA,2014
15,Greg Oden,26,23,6,212,27,49,.551,0,0,,27,49,.551,.551,13,23,.565,23,31,54,1,7,13,12,52,67,MIA,2014
16,Justin Hamilton,23,7,0,68,9,20,.450,3,9,.333,6,11,.545,.525,5,5,1.000,4,3,7,0,4,0,3,8,26,MIA,2014
17,Joel Anthony,31,12,0,37,2,6,.333,0,0,,2,6,.333,.333,2,2,1.000,2,5,7,0,0,4,1,4,6,MIA,2014
18,DeAndre Liggins,25,1,0,1,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,1,0,1,0,0,0,0,0,2,MIA,2014
,Team Totals,,82,,19880,3142,6272,.501,665,1829,.364,2477,4443,.558,.554,1431,1884,.760,627,2397,3024,1847,732,367,1212,1596,8380,MIA,2014
MIA,2015
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MIA,2015
1,Luol Deng,29,72,72,2421,369,787,.469,78,220,.355,291,567,.513,.518,191,251,.761,103,273,376,139,65,22,108,109,1007,MIA,2015
2,Mario Chalmers,28,80,37,2368,267,663,.403,73,248,.294,194,415,.467,.458,206,266,.774,24,182,206,307,122,10,173,251,813,MIA,2015
3,Dwyane Wade,33,62,62,1971,509,1084,.470,29,102,.284,480,982,.489,.483,284,370,.768,58,161,219,299,73,21,209,105,1331,MIA,2015
4,Chris Bosh,30,44,44,1556,343,745,.460,63,168,.375,280,577,.485,.503,179,232,.772,46,264,310,95,41,25,95,69,928,MIA,2015
5,Norris Cole,26,47,23,1148,118,306,.386,27,102,.265,91,204,.446,.430,32,46,.696,12,96,108,165,42,8,58,75,295,MIA,2015
6,Hassan Whiteside,25,48,32,1142,243,387,.628,0,0,,243,387,.628,.628,78,156,.500,145,337,482,6,27,123,58,129,564,MIA,2015
7,Chris Andersen,36,60,20,1132,120,207,.580,4,13,.308,116,194,.598,.589,76,114,.667,76,223,299,43,26,61,40,88,320,MIA,2015
8,James Ennis,24,62,3,1051,101,247,.409,31,95,.326,70,152,.461,.472,79,94,.840,51,125,176,48,25,17,39,89,312,MIA,2015
9,Shabazz Napier,23,51,10,1012,87,228,.382,43,118,.364,44,110,.400,.476,44,56,.786,17,96,113,130,40,4,81,76,261,MIA,2015
10,Udonis Haslem,34,62,25,995,107,239,.448,2,10,.200,105,229,.459,.452,45,64,.703,71,187,258,46,21,13,41,113,261,MIA,2015
11,Shawne Williams,28,44,22,924,102,240,.425,60,152,.395,42,88,.477,.550,28,33,.848,27,112,139,36,21,17,23,116,292,MIA,2015
12,Goran Dragic,28,26,26,905,162,323,.502,24,73,.329,138,250,.552,.539,84,104,.808,30,59,89,139,28,6,59,75,432,MIA,2015
13,Henry Walker,27,24,13,628,58,168,.345,45,132,.341,13,36,.361,.479,14,18,.778,7,75,82,29,24,9,24,76,175,MIA,2015
14,Danny Granger,31,30,6,613,65,162,.401,30,84,.357,35,78,.449,.494,28,37,.757,20,60,80,17,13,6,24,67,188,MIA,2015
15,Tyler Johnson,22,32,2,603,70,167,.419,18,48,.375,52,119,.437,.473,32,47,.681,14,67,81,42,33,9,30,42,190,MIA,2015
16,Michael Beasley,26,24,1,505,92,212,.434,8,34,.235,84,178,.472,.453,20,26,.769,12,77,89,32,15,13,37,66,212,MIA,2015
17,Josh McRoberts,27,17,4,296,28,53,.528,8,19,.421,20,34,.588,.604,8,13,.615,7,38,45,33,12,3,22,41,72,MIA,2015
18,Justin Hamilton,24,24,5,289,27,65,.415,6,19,.316,21,46,.457,.462,6,7,.857,24,24,48,12,8,5,8,33,66,MIA,2015
19,Shannon Brown,29,5,2,89,7,19,.368,3,7,.429,4,12,.333,.447,3,4,.750,0,1,1,3,4,0,4,8,20,MIA,2015
20,Zoran Dragic,25,10,1,62,9,22,.409,3,9,.333,6,13,.462,.477,1,2,.500,3,2,5,4,2,0,5,5,22,MIA,2015
21,Andre Dawkins,23,4,0,22,1,6,.167,1,6,.167,0,0,,.250,0,0,,0,2,2,1,0,0,1,3,3,MIA,2015
,Team Totals,,82,,19730,2885,6330,.456,556,1659,.335,2329,4671,.499,.500,1438,1940,.741,747,2461,3208,1626,642,372,1214,1636,7764,MIA,2015
MIL,2005
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MIL,2005
1,Desmond Mason,27,80,71,2893,478,1079,.443,1,8,.125,477,1071,.445,.443,420,524,.802,85,227,312,217,58,27,164,198,1377,MIL,2005
2,Michael Redd,25,75,75,2848,625,1418,.441,104,293,.355,521,1125,.463,.477,369,432,.854,72,240,312,172,63,8,133,152,1723,MIL,2005
3,Joe Smith,29,74,73,2265,319,621,.514,0,1,.000,319,620,.515,.514,175,228,.768,179,362,541,67,43,38,79,222,813,MIL,2005
4,Mo Williams,22,80,80,2254,323,737,.438,32,99,.323,291,638,.456,.460,136,160,.850,50,194,244,484,74,11,196,221,814,MIL,2005
5,Dan Gadzuric,26,81,81,1783,243,451,.539,0,0,,243,451,.539,.539,107,199,.538,261,413,674,30,47,106,81,224,593,MIL,2005
6,Zaza Pachulia,20,74,4,1397,160,354,.452,0,1,.000,160,353,.453,.452,138,185,.746,131,247,378,60,44,34,70,166,458,MIL,2005
7,Mike James,29,47,0,1167,205,460,.446,58,152,.382,147,308,.477,.509,67,90,.744,23,99,122,185,40,4,80,114,535,MIL,2005
8,Toni Kukoc,36,53,6,1099,105,256,.410,42,116,.362,63,140,.450,.492,44,61,.721,31,129,160,160,39,13,64,70,296,MIL,2005
9,Erick Strickland,31,62,5,1014,114,304,.375,21,83,.253,93,221,.421,.410,52,64,.813,11,92,103,115,30,1,64,103,301,MIL,2005
10,Marcus Fizer,26,54,0,903,133,292,.455,0,6,.000,133,286,.465,.455,70,103,.680,29,146,175,64,25,13,63,96,336,MIL,2005
11,Keith Van Horn,29,33,13,818,128,285,.449,30,78,.385,98,207,.473,.502,56,65,.862,55,110,165,41,21,11,47,82,342,MIL,2005
12,Anthony Goldwire,33,24,2,482,53,121,.438,29,71,.408,24,50,.480,.558,19,23,.826,9,42,51,78,15,0,14,27,154,MIL,2005
13,Kendall Gill,36,14,0,284,32,80,.400,3,9,.333,29,71,.408,.419,18,20,.900,11,26,37,27,14,4,9,37,85,MIL,2005
14,Calvin Booth,28,17,0,189,15,29,.517,0,0,,15,29,.517,.517,12,16,.750,13,36,49,4,4,12,8,23,42,MIL,2005
15,Zendon Hamilton,29,16,0,159,11,32,.344,0,0,,11,32,.344,.344,29,48,.604,18,24,42,6,5,2,12,26,51,MIL,2005
16,Daniel Santiago,28,11,0,105,7,21,.333,0,0,,7,21,.333,.333,8,11,.727,6,13,19,1,3,4,4,28,22,MIL,2005
17,Reece Gaines,24,11,0,79,7,23,.304,1,2,.500,6,21,.286,.326,0,0,,1,2,3,4,2,1,3,5,15,MIL,2005
18,Eddie House,26,5,0,41,6,17,.353,4,6,.667,2,11,.182,.471,0,0,,0,3,3,5,2,0,0,3,16,MIL,2005
,Team Totals,,82,,19780,2964,6580,.450,325,925,.351,2639,5655,.467,.475,1720,2229,.772,985,2405,3390,1720,529,289,1132,1797,7973,MIL,2005
MIL,2006
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MIL,2006
1,Michael Redd,26,80,80,3130,682,1516,.450,163,413,.395,519,1103,.471,.504,501,571,.877,78,264,342,229,95,5,170,157,2028,MIL,2006
2,T.J. Ford,22,72,70,2557,328,789,.416,35,104,.337,293,685,.428,.438,187,248,.754,63,248,311,473,104,7,219,196,878,MIL,2006
3,Bobby Simmons,25,75,74,2538,366,808,.453,105,250,.420,261,558,.468,.518,165,200,.825,91,242,333,172,86,21,123,254,1002,MIL,2006
4,Jamaal Magloire,27,82,82,2465,287,615,.467,0,0,,287,615,.467,.467,178,333,.535,220,558,778,56,29,80,166,276,752,MIL,2006
5,Andrew Bogut,21,82,77,2348,323,606,.533,0,3,.000,323,603,.536,.533,122,194,.629,189,384,573,192,49,68,125,259,768,MIL,2006
6,Mo Williams,23,58,12,1531,267,629,.424,73,191,.382,194,438,.443,.483,96,113,.850,30,113,143,230,52,7,105,146,703,MIL,2006
7,Charlie Bell,26,59,6,1283,180,410,.439,71,168,.423,109,242,.450,.526,63,89,.708,21,99,120,130,59,5,41,126,494,MIL,2006
8,Toni Kukoc,37,65,0,1018,116,298,.389,45,147,.306,71,151,.470,.465,40,56,.714,26,124,150,139,33,17,66,87,317,MIL,2006
9,Joe Smith,30,44,5,887,145,305,.475,0,2,.000,145,303,.479,.475,89,115,.774,83,147,230,31,24,13,40,120,379,MIL,2006
10,Dan Gadzuric,27,74,0,885,171,309,.553,0,1,.000,171,308,.555,.553,41,89,.461,91,141,232,24,25,43,35,171,383,MIL,2006
11,Jiri Welsch,26,58,2,866,86,222,.387,14,49,.286,72,173,.416,.419,65,87,.747,22,89,111,62,34,1,41,65,251,MIL,2006
12,Jermaine Jackson,29,30,2,202,11,26,.423,1,4,.250,10,22,.455,.442,12,14,.857,8,19,27,25,4,1,13,19,35,MIL,2006
13,Ervin Johnson,38,18,0,81,7,17,.412,0,0,,7,17,.412,.412,1,2,.500,5,19,24,2,1,2,5,23,15,MIL,2006
14,Reece Gaines,25,12,0,54,6,12,.500,0,2,.000,6,10,.600,.500,1,4,.250,0,0,0,3,1,0,1,1,13,MIL,2006
15,Josh Davis,25,4,0,12,1,4,.250,0,1,.000,1,3,.333,.250,0,0,,2,1,3,1,1,0,1,2,2,MIL,2006
,Team Totals,,82,,19855,2976,6566,.453,507,1335,.380,2469,5231,.472,.492,1561,2115,.738,929,2448,3377,1769,597,270,1197,1902,8020,MIL,2006
MIL,2007
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MIL,2007
1,Charlie Bell,27,82,64,2848,426,974,.437,127,361,.352,299,613,.488,.503,131,168,.780,57,181,238,247,97,4,104,213,1110,MIL,2007
2,Ruben Patterson,31,81,53,2508,475,867,.548,3,19,.158,472,848,.557,.550,241,376,.641,190,250,440,232,110,25,199,232,1194,MIL,2007
3,Mo Williams,24,68,68,2472,468,1049,.446,79,228,.346,389,821,.474,.484,159,186,.855,54,275,329,416,85,6,203,201,1174,MIL,2007
4,Andrew Bogut,22,66,66,2258,348,629,.553,1,5,.200,347,624,.556,.554,112,194,.577,168,416,584,198,49,35,150,216,809,MIL,2007
5,Michael Redd,27,53,53,2036,477,1025,.465,117,306,.382,360,719,.501,.522,345,416,.829,42,154,196,124,63,9,122,78,1416,MIL,2007
6,Brian Skinner,30,67,44,1523,124,253,.490,0,0,,124,253,.490,.490,46,79,.582,106,279,385,58,18,64,75,195,294,MIL,2007
7,Earl Boykins,30,35,19,1154,167,391,.427,54,129,.419,113,262,.431,.496,101,114,.886,26,50,76,159,31,0,68,61,489,MIL,2007
8,Charlie Villanueva,22,39,17,984,180,383,.470,29,86,.337,151,297,.508,.508,73,89,.820,62,166,228,36,24,12,54,108,462,MIL,2007
9,Ersan Ilyasova,19,66,14,973,139,363,.383,54,148,.365,85,215,.395,.457,70,89,.787,58,131,189,49,27,17,51,147,402,MIL,2007
10,Dan Gadzuric,28,54,8,840,108,228,.474,0,1,.000,108,227,.476,.474,42,90,.467,94,152,246,29,22,32,49,141,258,MIL,2007
11,David Noel,22,68,0,792,65,177,.367,17,53,.321,48,124,.387,.415,37,43,.860,42,81,123,65,25,9,40,77,184,MIL,2007
12,Steve Blake,26,33,2,583,45,129,.349,19,68,.279,26,61,.426,.422,11,20,.550,7,38,45,84,10,3,28,49,120,MIL,2007
13,Lynn Greer,27,41,0,432,61,141,.433,18,52,.346,43,89,.483,.496,27,32,.844,2,25,27,53,17,1,18,32,167,MIL,2007
14,Jared Reiner,24,27,2,244,15,43,.349,0,0,,15,43,.349,.349,3,10,.300,21,50,71,13,5,6,14,45,33,MIL,2007
15,Damir Markota,21,30,0,170,19,52,.365,6,16,.375,13,36,.361,.423,7,11,.636,11,20,31,6,3,1,15,22,51,MIL,2007
16,Julius Hodge,23,5,0,28,4,7,.571,0,0,,4,7,.571,.571,1,2,.500,1,4,5,2,1,0,2,3,9,MIL,2007
17,Chris McCray,22,5,0,12,0,3,.000,0,0,,0,3,.000,.000,0,0,,0,0,0,0,0,0,2,1,0,MIL,2007
,Team Totals,,82,,19855,3121,6714,.465,524,1472,.356,2597,5242,.495,.504,1406,1919,.733,941,2272,3213,1771,587,224,1240,1821,8172,MIL,2007
MIL,2008
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MIL,2008
1,Andrew Bogut,23,78,78,2720,465,910,.511,0,7,.000,465,903,.515,.511,189,322,.587,245,518,763,199,64,135,172,254,1119,MIL,2008
2,Michael Redd,28,72,71,2702,550,1243,.442,130,359,.362,420,884,.475,.495,402,490,.820,85,224,309,247,65,13,181,120,1632,MIL,2008
3,Mo Williams,25,66,66,2410,441,919,.480,89,231,.385,352,688,.512,.528,166,194,.856,37,193,230,419,78,10,182,188,1137,MIL,2008
4,Charlie Villanueva,23,76,31,1829,354,814,.435,55,185,.297,299,629,.475,.469,123,157,.783,145,321,466,78,30,35,107,174,886,MIL,2008
5,Desmond Mason,30,59,56,1702,230,477,.482,0,0,,230,477,.482,.482,114,173,.659,75,181,256,121,40,30,83,106,574,MIL,2008
6,Yi Jianlian,20,66,49,1647,219,520,.421,6,21,.286,213,499,.427,.427,122,145,.841,106,238,344,55,36,56,90,153,566,MIL,2008
7,Charlie Bell,28,68,5,1628,185,486,.381,74,217,.341,111,269,.413,.457,70,87,.805,31,136,167,210,52,2,76,121,514,MIL,2008
8,Bobby Simmons,27,70,21,1521,209,496,.421,60,171,.351,149,325,.458,.482,53,70,.757,67,159,226,80,50,5,78,140,531,MIL,2008
9,Royal Ivey,26,75,20,1437,149,378,.394,35,107,.327,114,271,.421,.440,85,117,.726,38,80,118,160,45,7,75,166,418,MIL,2008
10,Michael Ruffin,31,46,2,632,33,62,.532,0,0,,33,62,.532,.532,25,63,.397,90,96,186,24,31,19,19,93,91,MIL,2008
11,Dan Gadzuric,29,51,4,534,64,154,.416,0,1,.000,64,153,.418,.416,33,63,.524,67,77,144,11,20,24,34,83,161,MIL,2008
12,Ramon Sessions,21,17,7,450,51,117,.436,3,7,.429,48,110,.436,.449,32,41,.780,8,50,58,127,17,3,36,26,137,MIL,2008
13,Jake Voskuhl,30,44,0,386,37,80,.463,0,0,,37,80,.463,.463,24,29,.828,30,67,97,13,9,21,29,83,98,MIL,2008
14,Awvee Storey,30,26,0,259,39,89,.438,0,7,.000,39,82,.476,.438,14,29,.483,31,23,54,16,7,1,10,41,92,MIL,2008
,Team Totals,,82,,19855,3026,6745,.449,452,1313,.344,2574,5432,.474,.482,1452,1980,.733,1055,2363,3418,1760,544,361,1210,1748,7956,MIL,2008
MIL,2009
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MIL,2009
1,Richard Jefferson,28,82,82,2939,537,1222,.439,116,292,.397,421,930,.453,.487,417,518,.805,57,317,374,199,66,14,165,252,1607,MIL,2009
2,Ramon Sessions,22,79,39,2173,345,775,.445,6,34,.176,339,741,.457,.449,281,354,.794,64,205,269,452,83,7,152,158,977,MIL,2009
3,Luc Mbah a Moute,22,82,52,2114,227,491,.462,0,4,.000,227,487,.466,.462,140,192,.729,189,298,487,87,87,45,100,204,594,MIL,2009
4,Charlie Villanueva,24,78,47,2095,487,1089,.447,89,258,.345,398,831,.479,.488,201,240,.838,154,366,520,137,50,56,138,254,1264,MIL,2009
5,Luke Ridnour,27,72,50,2033,250,621,.403,55,157,.350,195,464,.420,.447,133,153,.869,33,185,218,365,92,16,128,200,688,MIL,2009
6,Charlie Bell,29,70,23,1783,217,524,.414,87,240,.363,130,284,.458,.497,66,80,.825,32,102,134,151,50,7,76,138,587,MIL,2009
7,Michael Redd,29,33,32,1203,249,547,.455,70,191,.366,179,356,.503,.519,131,161,.814,24,83,107,88,35,2,53,45,699,MIL,2009
8,Andrew Bogut,24,36,33,1124,183,317,.577,0,0,,183,317,.577,.577,56,98,.571,117,252,369,72,23,37,86,130,422,MIL,2009
9,Francisco Elson,32,59,23,977,83,169,.491,1,4,.250,82,165,.497,.494,33,39,.846,100,129,229,32,36,36,48,144,200,MIL,2009
10,Dan Gadzuric,30,67,26,941,117,244,.480,0,2,.000,117,242,.483,.480,37,68,.544,95,160,255,39,32,43,41,162,271,MIL,2009
11,Joe Alexander,22,59,0,716,102,245,.416,16,46,.348,86,199,.432,.449,58,83,.699,44,71,115,42,15,29,52,107,278,MIL,2009
12,Malik Allen,30,49,3,579,73,170,.429,0,1,.000,73,169,.432,.429,10,21,.476,35,68,103,35,7,12,20,89,156,MIL,2009
13,Keith Bogans,28,29,0,485,56,149,.376,32,92,.348,24,57,.421,.483,31,33,.939,16,75,91,33,20,2,22,44,175,MIL,2009
14,Tyronn Lue,31,30,0,392,54,119,.454,21,45,.467,33,74,.446,.542,12,16,.750,6,29,35,46,6,0,21,41,141,MIL,2009
15,Damon Jones,32,18,0,108,11,34,.324,11,28,.393,0,6,.000,.485,0,0,,0,6,6,7,3,0,6,4,33,MIL,2009
16,Austin Croshere,33,11,0,77,12,30,.400,5,11,.455,7,19,.368,.483,7,11,.636,7,17,24,6,1,1,4,4,36,MIL,2009
