ATL,2005
7,Jerryd Bayless,PG,6-3,200,August 20 1988,4,University of Arizona,MEM,2013
11,Mike Conley,PG,6-1,175,October 11 1987,5,Ohio State University,MEM,2013
32,Ed Davis,PF,6-10,240,June 5 1989,2,University of North Carolina,MEM,2013
5,Austin Daye,SF,6-11,220,June 5 1988,3,Gonzaga University,MEM,2013
55,Keyon Dooling,PG,6-3,196,May 8 1980,12,University of Missouri,MEM,2013
3,Wayne Ellington,SG,6-4,200,October 29 1987,3,University of North Carolina,MEM,2013
33,Marc Gasol,C,7-1,255,January 29 1985,4,,MEM,2013
22,Rudy Gay,SF,6-8,230,August 17 1986,6,University of Connecticut,MEM,2013
15,Hamed Haddadi,C,7-2,254,May 19 1985,4,,MEM,2013
4,Chris Johnson,SF,6-6,206,April 29 1990,R,University of Dayton,MEM,2013
30,Jon Leuer,PF,6-10,228,May 14 1989,1,University of Wisconsin,MEM,2013
45,Dexter Pittman,C,6-11,308,March 2 1988,2,University of Texas at Austin,MEM,2013
20,Quincy Pondexter,SF,6-7,220,March 10 1988,2,University of Washington,MEM,2013
21,Tayshaun Prince,SF,6-9,212,February 28 1980,10,University of Kentucky,MEM,2013
50,Zach Randolph,PF,6-9,260,July 16 1981,11,Michigan State University,MEM,2013
2,Josh Selby,PG,6-2,183,March 27 1991,1,University of Kansas,MEM,2013
5,Marreese Speights,C,6-10,255,August 4 1987,4,University of Florida,MEM,2013
1,Tony Wroten,SG,6-6,205,April 13 1993,R,University of Washington,MEM,2013
MEM,2014
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,MEM,2014
9,Tony Allen,SG,6-4,213,January 11 1982,9,Oklahoma State University,MEM,2014
7,Jerryd Bayless,PG,6-3,200,August 20 1988,5,University of Arizona,MEM,2014
12,Nick Calathes,SG,6-6,213,February 7 1989,R,University of Florida,MEM,2014
11,Mike Conley,PG,6-1,175,October 11 1987,6,Ohio State University,MEM,2014
1,Seth Curry,PG,6-2,185,August 23 1990,R,Duke University,MEM,2014
32,Ed Davis,PF,6-10,240,June 5 1989,3,University of North Carolina,MEM,2014
22,Jamaal Franklin,SG,6-5,191,July 21 1991,R,San Diego State University,MEM,2014
33,Marc Gasol,C,7-1,255,January 29 1985,5,,MEM,2014
3,James Johnson,SF,6-9,250,February 20 1987,4,Wake Forest University,MEM,2014
41,Kosta Koufos,C,7-0,265,February 24 1989,5,Ohio State University,MEM,2014
5,Courtney Lee,SG,6-5,200,October 3 1985,5,Western Kentucky University,MEM,2014
30,Jon Leuer,PF,6-10,228,May 14 1989,2,University of Wisconsin,MEM,2014
13,Mike Miller,SF,6-8,218,February 19 1980,13,University of Florida,MEM,2014
7,Darius Morris,PG,6-4,190,January 3 1991,2,University of Michigan,MEM,2014
20,Quincy Pondexter,SG,6-7,220,March 10 1988,3,University of Washington,MEM,2014
21,Tayshaun Prince,SF,6-9,212,February 28 1980,11,University of Kentucky,MEM,2014
50,Zach Randolph,PF,6-9,260,July 16 1981,12,Michigan State University,MEM,2014
19,Beno Udrih,SG,6-3,205,July 5 1982,9,,MEM,2014
MEM,2015
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,MEM,2015
3,Jordan Adams,SG,6-5,209,July 8 1994,R,University of California Los Angeles,MEM,2015
9,Tony Allen,SG,6-4,213,January 11 1982,10,Oklahoma State University,MEM,2015
12,Nick Calathes,SG,6-6,213,February 7 1989,1,University of Florida,MEM,2015
15,Vince Carter,SG,6-6,220,January 26 1977,16,University of North Carolina,MEM,2015
11,Mike Conley,PG,6-1,175,October 11 1987,7,Ohio State University,MEM,2015
33,Marc Gasol,C,7-1,255,January 29 1985,6,,MEM,2015
0,JaMychal Green,PF,6-9,227,June 21 1990,R,University of Alabama,MEM,2015
32,Jeff Green,SF,6-9,235,August 28 1986,6,Georgetown University,MEM,2015
41,Kosta Koufos,C,7-0,265,February 24 1989,6,Ohio State University,MEM,2015
5,Courtney Lee,SG,6-5,200,October 3 1985,6,Western Kentucky University,MEM,2015
30,Jon Leuer,PF,6-10,228,May 14 1989,3,University of Wisconsin,MEM,2015
27,Kalin Lucas,PG,6-1,195,May 24 1989,R,Michigan State University,MEM,2015
8,Quincy Pondexter,SG,6-7,220,March 10 1988,4,University of Washington,MEM,2015
21,Tayshaun Prince,SF,6-9,212,February 28 1980,12,University of Kentucky,MEM,2015
50,Zach Randolph,PF,6-9,260,July 16 1981,13,Michigan State University,MEM,2015
2,Russ Smith,PG,6-0,165,April 19 1991,R,University of Louisville,MEM,2015
1,Jarnell Stokes,PF,6-9,263,January 7 1994,R,University of Tennessee,MEM,2015
13,Tyrus Thomas,PF,6-9,215,August 17 1986,7,Louisiana State University,MEM,2015
19,Beno Udrih,PG,6-3,205,July 5 1982,10,,MEM,2015
MIA,2005
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,MIA,2005
35,Malik Allen,PF,6-10,255,June 27 1978,3,Villanova University,MIA,2005
49,Shandon Anderson,SF,6-6,208,December 31 1973,8,University of Georgia,MIA,2005
45,Rasual Butler,SF,6-7,215,May 23 1979,2,La Salle University,MIA,2005
51,Michael Doleac,C,6-11,262,June 15 1977,6,University of Utah,MIA,2005
5,Keyon Dooling,PG,6-3,196,May 8 1980,4,University of Missouri,MIA,2005
40,Udonis Haslem,PF,6-8,235,June 9 1980,1,University of Florida,MIA,2005
19,Damon Jones,PG,6-3,185,August 25 1976,6,University of Houston,MIA,2005
6,Eddie Jones,SF,6-6,190,October 20 1971,10,Temple University,MIA,2005
44,Christian Laettner,PF,6-11,235,August 17 1969,12,Duke University,MIA,2005
33,Alonzo Mourning,C,6-10,240,February 8 1970,11,Georgetown University,MIA,2005
32,Shaquille O'Neal,C,7-1,325,March 6 1972,12,Louisiana State University,MIA,2005
7,Wesley Person,SF,6-6,195,March 28 1971,10,Auburn University,MIA,2005
8,Steve Smith,SG,6-7,200,March 31 1969,13,Michigan State University,MIA,2005
3,Dwyane Wade,SG,6-4,220,January 17 1982,1,Marquette University,MIA,2005
24,Qyntel Woods,SF,6-8,221,February 16 1981,2,Northeast Mississippi Community College,MIA,2005
1,Dorell Wright,SF,6-7,200,December 2 1985,R,,MIA,2005
15,Wang Zhizhi,C,7-0,255,July 8 1977,4,,MIA,2005
MIA,2006
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,MIA,2006
5,Derek Anderson,SG,6-5,194,July 18 1974,8,University of Kentucky,MIA,2006
49,Shandon Anderson,SF,6-6,208,December 31 1973,9,University of Georgia,MIA,2006
30,Earl Barron,C,7-0,250,August 14 1981,R,University of Memphis,MIA,2006
51,Michael Doleac,C,6-11,262,June 15 1977,7,University of Utah,MIA,2006
4,Gerald Fitch,PG,6-3,188,August 12 1982,R,University of Kentucky,MIA,2006
40,Udonis Haslem,PF,6-8,235,June 9 1980,2,University of Florida,MIA,2006
24,Jason Kapono,SF,6-8,213,February 4 1981,2,University of California Los Angeles,MIA,2006
33,Alonzo Mourning,C,6-10,240,February 8 1970,12,Georgetown University,MIA,2006
32,Shaquille O'Neal,C,7-1,325,March 6 1972,13,Louisiana State University,MIA,2006
20,Gary Payton,PG,6-4,180,July 23 1968,15,Oregon State University,MIA,2006
42,James Posey,SF,6-8,215,January 13 1977,6,Xavier University,MIA,2006
25,Wayne Simien,PF,6-9,255,March 9 1983,R,University of Kansas,MIA,2006
3,Dwyane Wade,SG,6-4,220,January 17 1982,2,Marquette University,MIA,2006
8,Antoine Walker,PF,6-8,224,August 12 1976,9,University of Kentucky,MIA,2006
44,Matt Walsh,SG,6-6,205,December 2 1982,R,University of Florida,MIA,2006
55,Jason Williams,PG,6-1,190,November 18 1975,7,University of Florida,MIA,2006
1,Dorell Wright,SF,6-7,200,December 2 1985,1,,MIA,2006
MIA,2007
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,MIA,2007
30,Earl Barron,C,7-0,250,August 14 1981,1,University of Memphis,MIA,2007
51,Michael Doleac,C,6-11,262,June 15 1977,8,University of Utah,MIA,2007
40,Udonis Haslem,PF,6-8,235,June 9 1980,3,University of Florida,MIA,2007
22,Robert Hite,SG,6-2,184,January 12 1984,R,University of Miami,MIA,2007
6,Eddie Jones,SG,6-6,190,October 20 1971,12,Temple University,MIA,2007
24,Jason Kapono,SF,6-8,213,February 4 1981,3,University of California Los Angeles,MIA,2007
33,Alonzo Mourning,C,6-10,240,February 8 1970,13,Georgetown University,MIA,2007
32,Shaquille O'Neal,C,7-1,325,March 6 1972,14,Louisiana State University,MIA,2007
20,Gary Payton,PG,6-4,180,July 23 1968,16,Oregon State University,MIA,2007
42,James Posey,SF,6-8,215,January 13 1977,7,Xavier University,MIA,2007
11,Chris Quinn,PG,6-2,185,September 27 1983,R,University of Notre Dame,MIA,2007
25,Wayne Simien,PF,6-9,255,March 9 1983,1,University of Kansas,MIA,2007
3,Dwyane Wade,SG,6-4,220,January 17 1982,3,Marquette University,MIA,2007
8,Antoine Walker,PF,6-8,224,August 12 1976,10,University of Kentucky,MIA,2007
55,Jason Williams,PG,6-1,190,November 18 1975,8,University of Florida,MIA,2007
1,Dorell Wright,SF,6-7,200,December 2 1985,2,,MIA,2007
MIA,2008
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,MIA,2008
6,Blake Ahearn,PG,6-2,190,May 27 1984,R,Missouri State University,MIA,2008
50,Joel Anthony,PF,6-9,245,August 9 1982,R,University of Nevada Las Vegas,MIA,2008
5,Marcus Banks,PG,6-2,200,November 19 1981,4,University of Nevada Las Vegas,MIA,2008
30,Earl Barron,C,7-0,250,August 14 1981,2,University of Memphis,MIA,2008
15,Mark Blount,C,7-0,230,November 30 1975,7,University of Pittsburgh,MIA,2008
14,Daequan Cook,SG,6-5,205,April 28 1987,R,Ohio State University,MIA,2008
31,Ricky Davis,SF,6-6,195,September 23 1979,9,University of Iowa,MIA,2008
7,Anfernee Hardaway,SF,6-7,195,July 18 1971,13,University of Memphis,MIA,2008
40,Udonis Haslem,PF,6-8,235,June 9 1980,4,University of Florida,MIA,2008
6,Luke Jackson,SF,6-7,215,November 6 1981,3,University of Oregon,MIA,2008
13,Alexander Johnson,PF,6-9,240,February 8 1983,1,Florida State University,MIA,2008
21,Bobby Jones,SF,6-7,215,January 9 1984,1,University of Washington,MIA,2008
45,Stephane Lasme,PF,6-8,215,December 17 1982,R,University of Massachusetts Amherst,MIA,2008
7,Shawn Marion,PF,6-7,220,May 7 1978,8,University of Nevada Las Vegas,MIA,2008
33,Alonzo Mourning,C,6-10,240,February 8 1970,14,Georgetown University,MIA,2008
32,Shaquille O'Neal,C,7-1,325,March 6 1972,15,Louisiana State University,MIA,2008
21,Smush Parker,PG,6-4,190,June 1 1981,4,Fordham University,MIA,2008
12,Kasib Powell,SF,6-7,215,March 18 1981,R,Texas Tech University,MIA,2008
11,Chris Quinn,PG,6-2,185,September 27 1983,1,University of Notre Dame,MIA,2008
3,Dwyane Wade,SG,6-4,220,January 17 1982,4,Marquette University,MIA,2008
55,Jason Williams,PG,6-1,190,November 18 1975,9,University of Florida,MIA,2008
1,Dorell Wright,SF,6-7,200,December 2 1985,3,,MIA,2008
MIA,2009
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,MIA,2009
50,Joel Anthony,C,6-9,245,August 9 1982,1,University of Nevada Las Vegas,MIA,2009
5,Marcus Banks,PG,6-2,200,November 19 1981,5,University of Nevada Las Vegas,MIA,2009
30,Michael Beasley,PF,6-9,235,January 9 1989,R,Kansas State University,MIA,2009
15,Mark Blount,C,7-0,230,November 30 1975,8,University of Pittsburgh,MIA,2009
6,Mario Chalmers,PG,6-2,190,May 19 1986,R,University of Kansas,MIA,2009
14,Daequan Cook,SF,6-5,205,April 28 1987,1,Ohio State University,MIA,2009
9,Yakhouba Diawara,SF,6-7,225,August 29 1982,2,Pepperdine University,MIA,2009
40,Udonis Haslem,PF,6-8,235,June 9 1980,5,University of Florida,MIA,2009
13,Luther Head,SG,6-3,185,November 26 1982,3,University of Illinois at Urbana-Champaign,MIA,2009
22,James Jones,SF,6-8,218,October 4 1980,5,University of Miami,MIA,2009
8,Shaun Livingston,PG,6-7,182,September 11 1985,3,,MIA,2009
21,Jamaal Magloire,C,6-11,259,May 21 1978,8,University of Kentucky,MIA,2009
7,Shawn Marion,SF,6-7,220,May 7 1978,9,University of Nevada Las Vegas,MIA,2009
8,Jamario Moon,SF,6-8,205,June 13 1980,1,Meridian Community College,MIA,2009
7,Jermaine O'Neal,C,6-11,226,October 13 1978,12,,MIA,2009
11,Chris Quinn,PG,6-2,185,September 27 1983,2,University of Notre Dame,MIA,2009
3,Dwyane Wade,SG,6-4,220,January 17 1982,5,Marquette University,MIA,2009
1,Dorell Wright,SF,6-7,200,December 2 1985,4,,MIA,2009
MIA,2010
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,MIA,2010
11,Rafer Alston,PG,6-2,171,July 24 1976,10,California State University Fresno,MIA,2010
50,Joel Anthony,C,6-9,245,August 9 1982,2,University of Nevada Las Vegas,MIA,2010
8,Carlos Arroyo,PG,6-2,202,July 30 1979,7,Florida International University,MIA,2010
30,Michael Beasley,PF,6-9,235,January 9 1989,1,Kansas State University,MIA,2010
6,Mario Chalmers,PG,6-2,190,May 19 1986,1,University of Kansas,MIA,2010
14,Daequan Cook,SG,6-5,205,April 28 1987,2,Ohio State University,MIA,2010
9,Yakhouba Diawara,SG,6-7,225,August 29 1982,3,Pepperdine University,MIA,2010
40,Udonis Haslem,PF,6-8,235,June 9 1980,6,University of Florida,MIA,2010
22,James Jones,SF,6-8,218,October 4 1980,6,University of Miami,MIA,2010
21,Jamaal Magloire,C,6-11,259,May 21 1978,9,University of Kentucky,MIA,2010
7,Jermaine O'Neal,C,6-11,226,October 13 1978,13,,MIA,2010
42,Shavlik Randolph,PF,6-10,240,November 24 1983,4,Duke University,MIA,2010
5,Quentin Richardson,SF,6-6,223,April 13 1980,9,DePaul University,MIA,2010
3,Dwyane Wade,SG,6-4,220,January 17 1982,6,Marquette University,MIA,2010
1,Dorell Wright,SF,6-7,200,December 2 1985,5,,MIA,2010
MIA,2011
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,MIA,2011
50,Joel Anthony,C,6-9,245,August 9 1982,3,University of Nevada Las Vegas,MIA,2011
8,Carlos Arroyo,PG,6-2,202,July 30 1979,8,Florida International University,MIA,2011
0,Mike Bibby,PG,6-1,190,May 13 1978,12,University of Arizona,MIA,2011
1,Chris Bosh,PF,6-11,235,March 24 1984,7,Georgia Institute of Technology,MIA,2011
15,Mario Chalmers,PG,6-2,190,May 19 1986,2,University of Kansas,MIA,2011
25,Erick Dampier,C,6-11,265,July 14 1975,14,Mississippi State University,MIA,2011
40,Udonis Haslem,PF,6-8,235,June 9 1980,7,University of Florida,MIA,2011
55,Eddie House,SG,6-1,180,May 14 1978,10,Arizona State University,MIA,2011
5,Juwan Howard,PF,6-9,240,February 7 1973,16,University of Michigan,MIA,2011
11,Zydrunas Ilgauskas,C,7-3,238,June 5 1975,12,,MIA,2011
6,LeBron James,SF,6-8,250,December 30 1984,7,,MIA,2011
22,James Jones,SF,6-8,218,October 4 1980,7,University of Miami,MIA,2011
21,Jamaal Magloire,C,6-11,259,May 21 1978,10,University of Kentucky,MIA,2011
13,Mike Miller,SG,6-8,218,February 19 1980,10,University of Florida,MIA,2011
45,Dexter Pittman,C,6-11,308,March 2 1988,R,University of Texas at Austin,MIA,2011
42,Jerry Stackhouse,SG,6-6,218,November 5 1974,15,University of North Carolina,MIA,2011
3,Dwyane Wade,SG,6-4,220,January 17 1982,7,Marquette University,MIA,2011
MIA,2012
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,MIA,2012
50,Joel Anthony,C,6-9,245,August 9 1982,4,University of Nevada Las Vegas,MIA,2012
31,Shane Battier,SF,6-8,220,September 9 1978,10,Duke University,MIA,2012
1,Chris Bosh,PF,6-11,235,March 24 1984,8,Georgia Institute of Technology,MIA,2012
15,Mario Chalmers,PG,6-2,190,May 19 1986,3,University of Kansas,MIA,2012
30,Norris Cole,PG,6-2,175,October 13 1988,R,Cleveland State University,MIA,2012
34,Eddy Curry,C,7-0,295,December 5 1982,9,,MIA,2012
32,Mickell Gladness,PF,6-11,220,July 26 1986,R,Alabama A&amp;M University,MIA,2012
14,Terrel Harris,SG,6-5,190,August 10 1987,R,Oklahoma State University,MIA,2012
40,Udonis Haslem,PF,6-8,235,June 9 1980,8,University of Florida,MIA,2012
5,Juwan Howard,PF,6-9,240,February 7 1973,17,University of Michigan,MIA,2012
6,LeBron James,SF,6-8,250,December 30 1984,8,,MIA,2012
22,James Jones,SG,6-8,218,October 4 1980,8,University of Miami,MIA,2012
13,Mike Miller,SG,6-8,218,February 19 1980,11,University of Florida,MIA,2012
45,Dexter Pittman,C,6-11,308,March 2 1988,1,University of Texas at Austin,MIA,2012
21,Ronny Turiaf,C,6-10,249,January 13 1983,6,Gonzaga University,MIA,2012
3,Dwyane Wade,SG,6-4,220,January 17 1982,8,Marquette University,MIA,2012
MIA,2013
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,MIA,2013
34,Ray Allen,SG,6-5,205,July 20 1975,16,University of Connecticut,MIA,2013
11,Chris Andersen,C,6-10,245,July 7 1978,10,Blinn College,MIA,2013
50,Joel Anthony,C,6-9,245,August 9 1982,5,University of Nevada Las Vegas,MIA,2013
31,Shane Battier,SF,6-8,220,September 9 1978,11,Duke University,MIA,2013
1,Chris Bosh,C,6-11,235,March 24 1984,9,Georgia Institute of Technology,MIA,2013
15,Mario Chalmers,PG,6-2,190,May 19 1986,4,University of Kansas,MIA,2013
30,Norris Cole,PG,6-2,175,October 13 1988,1,Cleveland State University,MIA,2013
55,Josh Harrellson,C,6-10,275,February 12 1989,1,University of Kentucky,MIA,2013
14,Terrel Harris,SG,6-5,190,August 10 1987,1,Oklahoma State University,MIA,2013
40,Udonis Haslem,PF,6-8,235,June 9 1980,9,University of Florida,MIA,2013
5,Juwan Howard,PF,6-9,240,February 7 1973,18,University of Michigan,MIA,2013
6,LeBron James,PF,6-8,250,December 30 1984,9,,MIA,2013
22,James Jones,SF,6-8,218,October 4 1980,9,University of Miami,MIA,2013
9,Rashard Lewis,PF,6-10,215,August 8 1979,14,,MIA,2013
13,Mike Miller,SF,6-8,218,February 19 1980,12,University of Florida,MIA,2013
45,Dexter Pittman,C,6-11,308,March 2 1988,2,University of Texas at Austin,MIA,2013
24,Jarvis Varnado,PF,6-9,230,March 1 1988,R,Mississippi State University,MIA,2013
3,Dwyane Wade,SG,6-4,220,January 17 1982,9,Marquette University,MIA,2013
MIA,2014
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,MIA,2014
34,Ray Allen,SG,6-5,205,July 20 1975,17,University of Connecticut,MIA,2014
11,Chris Andersen,C,6-10,245,July 7 1978,11,Blinn College,MIA,2014
50,Joel Anthony,C,6-9,245,August 9 1982,6,University of Nevada Las Vegas,MIA,2014
31,Shane Battier,SF,6-8,220,September 9 1978,12,Duke University,MIA,2014
8,Michael Beasley,SF,6-9,235,January 9 1989,5,Kansas State University,MIA,2014
1,Chris Bosh,C,6-11,235,March 24 1984,10,Georgia Institute of Technology,MIA,2014
15,Mario Chalmers,PG,6-2,190,May 19 1986,5,University of Kansas,MIA,2014
30,Norris Cole,PG,6-2,175,October 13 1988,2,Cleveland State University,MIA,2014
0,Toney Douglas,PG,6-2,195,March 16 1986,4,Florida State University,MIA,2014
7,Justin Hamilton,C,7-0,260,April 1 1990,R,Louisiana State University,MIA,2014
40,Udonis Haslem,PF,6-8,235,June 9 1980,10,University of Florida,MIA,2014
6,LeBron James,PF,6-8,250,December 30 1984,10,,MIA,2014
22,James Jones,SF,6-8,218,October 4 1980,10,University of Miami,MIA,2014
9,Rashard Lewis,SF,6-10,215,August 8 1979,15,,MIA,2014
14,DeAndre Liggins,SG,6-6,209,March 31 1988,2,University of Kentucky,MIA,2014
21,Roger Mason,SG,6-5,200,September 10 1980,9,University of Virginia,MIA,2014
20,Greg Oden,C,7-0,250,January 22 1988,2,Ohio State University,MIA,2014
3,Dwyane Wade,SG,6-4,220,January 17 1982,10,Marquette University,MIA,2014
MIA,2015
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,MIA,2015
11,Chris Andersen,C,6-10,245,July 7 1978,12,Blinn College,MIA,2015
30,Michael Beasley,SF,6-9,235,January 9 1989,6,Kansas State University,MIA,2015
1,Chris Bosh,C,6-11,235,March 24 1984,11,Georgia Institute of Technology,MIA,2015
26,Shannon Brown,SG,6-4,205,November 29 1985,8,Michigan State University,MIA,2015
15,Mario Chalmers,PG,6-2,190,May 19 1986,6,University of Kansas,MIA,2015
30,Norris Cole,PG,6-2,175,October 13 1988,3,Cleveland State University,MIA,2015
24,Andre Dawkins,SG,6-5,215,September 19 1991,R,Duke University,MIA,2015
9,Luol Deng,SF,6-9,220,April 16 1985,10,Duke University,MIA,2015
7,Goran Dragic,PG,6-3,190,May 6 1986,6,,MIA,2015
12,Zoran Dragic,SG,6-5,200,June 22 1989,R,,MIA,2015
32,James Ennis,SF,6-7,210,July 1 1990,R,California State University Long Beach,MIA,2015
22,Danny Granger,SF,6-9,222,April 20 1983,9,University of New Mexico,MIA,2015
7,Justin Hamilton,C,7-0,260,April 1 1990,1,Louisiana State University,MIA,2015
40,Udonis Haslem,PF,6-8,235,June 9 1980,11,University of Florida,MIA,2015
8,Tyler Johnson,SG,6-4,186,May 7 1992,R,California State University Fresno,MIA,2015
4,Josh McRoberts,PF,6-10,240,February 28 1987,7,Duke University,MIA,2015
13,Shabazz Napier,PG,6-1,175,July 14 1991,R,University of Connecticut,MIA,2015
3,Dwyane Wade,SG,6-4,220,January 17 1982,11,Marquette University,MIA,2015
5,Henry Walker,SF,6-6,220,October 9 1987,4,Kansas State University,MIA,2015
21,Hassan Whiteside,C,7-0,265,June 13 1989,2,Marshall University,MIA,2015
43,Shawne Williams,SF,6-9,225,February 16 1986,6,University of Memphis,MIA,2015
MIL,2005
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,MIL,2005
52,Calvin Booth,C,6-11,230,May 7 1976,5,Pennsylvania State University,MIL,2005
21,Marcus Fizer,PF,6-9,262,August 10 1978,4,Iowa State University,MIL,2005
50,Dan Gadzuric,C,6-11,240,February 2 1978,2,University of California Los Angeles,MIL,2005
34,Reece Gaines,PG,6-6,205,January 7 1981,1,University of Louisville,MIL,2005
12,Kendall Gill,SG,6-5,195,May 25 1968,14,University of Illinois at Urbana-Champaign,MIL,2005
5,Anthony Goldwire,PG,6-1,182,September 6 1971,6,University of Houston,MIL,2005
31,Zendon Hamilton,C,6-11,250,April 27 1975,4,St. John's University,MIL,2005
5,Eddie House,SG,6-1,180,May 14 1978,4,Arizona State University,MIL,2005
13,Mike James,PG,6-2,188,June 23 1975,3,Duquesne University,MIL,2005
7,Toni Kukoc,SF,6-10,192,September 18 1968,11,,MIL,2005
24,Desmond Mason,SF,6-7,224,October 11 1977,4,Oklahoma State University,MIL,2005
27,Zaza Pachulia,C,6-11,270,February 10 1984,1,,MIL,2005
22,Michael Redd,SG,6-6,220,August 24 1979,4,Ohio State University,MIL,2005
15,Daniel Santiago,C,7-1,256,June 24 1976,3,Saint Vincent College,MIL,2005
8,Joe Smith,PF,6-10,225,July 26 1975,9,University of Maryland,MIL,2005
20,Erick Strickland,SG,6-3,210,November 25 1973,8,University of Nebraska,MIL,2005
44,Keith Van Horn,SF,6-10,220,October 23 1975,7,University of Utah,MIL,2005
25,Mo Williams,PG,6-1,198,December 19 1982,1,University of Alabama,MIL,2005
MIL,2006
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,MIL,2006
42,Charlie Bell,SG,6-3,200,March 12 1979,1,Michigan State University,MIL,2006
6,Andrew Bogut,PF,7-0,260,November 28 1984,R,University of Utah,MIL,2006
5,Josh Davis,PF,6-8,235,August 10 1980,2,University of Wyoming,MIL,2006
11,T.J. Ford,PG,6-0,165,March 24 1983,1,University of Texas at Austin,MIL,2006
50,Dan Gadzuric,C,6-11,240,February 2 1978,3,University of California Los Angeles,MIL,2006
34,Reece Gaines,PG,6-6,205,January 7 1981,2,University of Louisville,MIL,2006
5,Jermaine Jackson,PG,6-4,204,June 7 1976,4,University of Detroit Mercy,MIL,2006
40,Ervin Johnson,C,6-11,245,December 21 1967,12,University of New Orleans,MIL,2006
7,Toni Kukoc,PF,6-10,192,September 18 1968,12,,MIL,2006
20,Jamaal Magloire,C,6-11,259,May 21 1978,5,University of Kentucky,MIL,2006
22,Michael Redd,SG,6-6,220,August 24 1979,5,Ohio State University,MIL,2006
21,Bobby Simmons,SF,6-7,210,June 2 1980,4,DePaul University,MIL,2006
8,Joe Smith,PF,6-10,225,July 26 1975,10,University of Maryland,MIL,2006
44,Jiri Welsch,SF,6-7,208,January 27 1980,3,,MIL,2006
25,Mo Williams,PG,6-1,198,December 19 1982,2,University of Alabama,MIL,2006
MIL,2007
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,MIL,2007
42,Charlie Bell,SG,6-3,200,March 12 1979,2,Michigan State University,MIL,2007
5,Steve Blake,PG,6-3,172,February 26 1980,3,University of Maryland,MIL,2007
6,Andrew Bogut,C,7-0,260,November 28 1984,1,University of Utah,MIL,2007
11,Earl Boykins,PG,5-5,135,June 2 1976,8,Eastern Michigan University,MIL,2007
50,Dan Gadzuric,C,6-11,240,February 2 1978,4,University of California Los Angeles,MIL,2007
3,Lynn Greer,SG,6-2,175,October 23 1979,R,Temple University,MIL,2007
24,Julius Hodge,SG,6-7,210,November 18 1983,1,North Carolina State University,MIL,2007
19,Ersan Ilyasova,PF,6-10,235,May 15 1987,R,,MIL,2007
52,Damir Markota,PF,6-10,225,December 26 1985,R,,MIL,2007
12,Chris McCray,SG,6-5,192,May 27 1984,R,University of Maryland,MIL,2007
34,David Noel,PF,6-6,230,February 27 1984,R,University of North Carolina,MIL,2007
23,Ruben Patterson,SF,6-5,224,July 31 1975,8,University of Cincinnati,MIL,2007
22,Michael Redd,SF,6-6,220,August 24 1979,6,Ohio State University,MIL,2007
55,Jared Reiner,C,6-11,255,April 8 1982,1,University of Iowa,MIL,2007
54,Brian Skinner,PF,6-9,255,May 19 1976,8,Baylor University,MIL,2007
31,Charlie Villanueva,PF,6-11,232,August 24 1984,1,University of Connecticut,MIL,2007
25,Mo Williams,PG,6-1,198,December 19 1982,3,University of Alabama,MIL,2007
MIL,2008
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,MIL,2008
42,Charlie Bell,SG,6-3,200,March 12 1979,3,Michigan State University,MIL,2008
6,Andrew Bogut,C,7-0,260,November 28 1984,2,University of Utah,MIL,2008
50,Dan Gadzuric,C,6-11,240,February 2 1978,5,University of California Los Angeles,MIL,2008
12,Royal Ivey,PG,6-3,200,December 20 1981,3,University of Texas at Austin,MIL,2008
9,Yi Jianlian,PF,7-0,238,October 27 1987,R,,MIL,2008
24,Desmond Mason,SF,6-7,224,October 11 1977,7,Oklahoma State University,MIL,2008
22,Michael Redd,SG,6-6,220,August 24 1979,7,Ohio State University,MIL,2008
51,Michael Ruffin,C,6-9,246,January 21 1977,7,University of Tulsa,MIL,2008
7,Ramon Sessions,PG,6-3,190,April 11 1986,R,University of Nevada Reno,MIL,2008
21,Bobby Simmons,SF,6-7,210,June 2 1980,5,DePaul University,MIL,2008
20,Awvee Storey,SG,6-6,222,April 18 1977,2,Arizona State University,MIL,2008
31,Charlie Villanueva,PF,6-11,232,August 24 1984,2,University of Connecticut,MIL,2008
43,Jake Voskuhl,C,6-11,245,November 1 1977,7,University of Connecticut,MIL,2008
25,Mo Williams,PG,6-1,198,December 19 1982,4,University of Alabama,MIL,2008
MIL,2009
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,MIL,2009
