ATL,2005
15,Al Horford,C,6-10,245,June 3 1986,R,University of Florida,ATL,2008
8,Anthony Johnson,PG,6-3,190,October 2 1974,10,College of Charleston,ATL,2008
2,Joe Johnson,SG,6-7,240,June 29 1981,6,University of Arkansas,ATL,2008
44,Solomon Jones,PF,6-10,230,July 16 1984,1,University of South Florida,ATL,2008
4,Acie Law,PG,6-3,195,January 25 1985,R,Texas A&amp;M University,ATL,2008
10,Tyronn Lue,PG,6-0,175,May 3 1977,9,University of Nebraska,ATL,2008
27,Zaza Pachulia,C,6-11,270,February 10 1984,4,,ATL,2008
32,Jeremy Richardson,SF,6-6,185,February 11 1984,1,Delta State University,ATL,2008
5,Josh Smith,PF,6-9,225,December 5 1985,3,,ATL,2008
20,Salim Stoudamire,PG,6-1,179,October 11 1982,2,University of Arizona,ATL,2008
6,Mario West,SG,6-5,210,June 19 1984,R,Georgia Institute of Technology,ATL,2008
24,Marvin Williams,SF,6-9,237,June 19 1986,2,University of North Carolina,ATL,2008
33,Shelden Williams,PF,6-9,250,October 21 1983,1,Duke University,ATL,2008
42,Lorenzen Wright,C,6-11,225,November 4 1975,11,University of Memphis,ATL,2008
ATL,2009
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,ATL,2009
10,Mike Bibby,PG,6-1,190,May 13 1978,10,University of Arizona,ATL,2009
12,Speedy Claxton,PG,5-11,166,May 8 1978,6,Hofstra University,ATL,2009
1,Maurice Evans,SF,6-5,220,November 8 1978,5,University of Texas at Austin,ATL,2009
3,Thomas Gardner,SG,6-5,225,February 8 1985,1,University of Missouri,ATL,2009
15,Al Horford,C,6-10,245,June 3 1986,1,University of Florida,ATL,2009
50,Othello Hunter,PF,6-8,225,May 28 1986,R,Ohio State University,ATL,2009
2,Joe Johnson,SG,6-7,240,June 29 1981,7,University of Arkansas,ATL,2009
44,Solomon Jones,C,6-10,230,July 16 1984,2,University of South Florida,ATL,2009
4,Acie Law,PG,6-3,195,January 25 1985,1,Texas A&amp;M University,ATL,2009
33,Randolph Morris,C,6-10,266,January 2 1986,2,University of Kentucky,ATL,2009
22,Ronald Murray,SG,6-4,190,July 29 1979,6,Shaw University,ATL,2009
27,Zaza Pachulia,C,6-11,270,February 10 1984,5,,ATL,2009
5,Josh Smith,PF,6-9,225,December 5 1985,4,,ATL,2009
