SEASON_ID,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,CFID,CFPARAMS
41998,1610612751,New Jersey Nets,50,16,34,0.32,2410,96.3,100.6,-4.4,0.546,1.23,14.4,0.311,0.697,0.494,0.158,0.434,0.485,94.34,0.466,10,New Jersey Nets
41998,1610612752,New York Knicks,50,27,23,0.54,2420,96.2,94.3,1.9,0.598,1.2,16,0.279,0.71,0.502,0.179,0.463,0.509,89.46,0.515,10,New York Knicks
41998,1610612753,Orlando Magic,50,33,17,0.66,2410,96.7,95.3,1.4,0.632,1.3,16.7,0.326,0.708,0.514,0.177,0.456,0.498,91.45,0.519,10,Orlando Magic
41998,1610612755,Philadelphia 76ers,50,28,22,0.56,2430,96.8,94.6,2.2,0.564,1.14,14.8,0.342,0.698,0.516,0.178,0.439,0.494,91.43,0.518,10,Philadelphia 76ers
41998,1610612756,Phoenix Suns,50,27,23,0.54,2410,103.4,99.9,3.5,0.695,1.83,19.3,0.284,0.698,0.487,0.147,0.481,0.526,92.56,0.529,10,Phoenix Suns
41998,1610612757,Portland Trail Blazers,50,35,15,0.7,2435,101.4,94.9,6.6,0.614,1.39,16.8,0.318,0.718,0.525,0.165,0.473,0.521,92.05,0.556,10,Portland Trail Blazers
41998,1610612758,Sacramento Kings,50,27,23,0.54,2440,99.9,100,-0.1,0.589,1.34,16.5,0.306,0.677,0.493,0.168,0.479,0.514,98.77,0.494,10,Sacramento Kings
41998,1610612759,San Antonio Spurs,50,37,13,0.74,2415,101.3,92.1,9.2,0.633,1.45,17.5,0.304,0.695,0.511,0.166,0.479,0.523,91.23,0.582,10,San Antonio Spurs
41998,1610612760,Seattle SuperSonics,50,25,25,0.5,2420,101.8,103.3,-1.6,0.619,1.42,16.9,0.319,0.686,0.5,0.164,0.481,0.519,92.26,0.49,10,Seattle SuperSonics
41998,1610612761,Toronto Raptors,50,23,27,0.46,2415,98.8,100.5,-1.7,0.624,1.3,16.3,0.338,0.702,0.518,0.173,0.45,0.504,91.71,0.489,10,Toronto Raptors
41998,1610612762,Utah Jazz,50,37,13,0.74,2435,102.7,95.5,7.2,0.715,1.48,19.1,0.3,0.704,0.517,0.179,0.485,0.545,89.56,0.591,10,Utah Jazz
41998,1610612763,Vancouver Grizzlies,50,8,42,0.16,2435,95.4,105.1,-9.6,0.586,1.14,15.4,0.309,0.669,0.486,0.182,0.447,0.498,91.63,0.427,10,Vancouver Grizzlies
41998,1610612764,Washington Wizards,50,18,32,0.36,2410,98.3,101,-2.7,0.602,1.45,16.9,0.282,0.695,0.484,0.159,0.468,0.507,92.24,0.476,10,Washington Wizards
41999,1610612737,Atlanta Hawks,82,28,54,0.341,3966,99.2,104.8,-5.7,0.516,1.22,14.7,0.317,0.71,0.513,0.162,0.46,0.503,94.41,0.462,10,Atlanta Hawks
41999,1610612738,Boston Celtics,82,35,47,0.427,3946,102,103,-1,0.57,1.38,16.1,0.304,0.738,0.51,0.158,0.474,0.52,97.06,0.476,10,Boston Celtics
41999,1610612766,Charlotte Hornets,82,49,33,0.598,3956,101.7,98.9,2.8,0.689,1.68,18.7,0.257,0.732,0.5,0.152,0.475,0.53,96.31,0.541,10,Charlotte Hornets
41999,1610612741,Chicago Bulls,82,17,65,0.207,3961,91.2,102.3,-11.1,0.638,1.05,15.9,0.299,0.699,0.495,0.204,0.443,0.49,91.95,0.417,10,Chicago Bulls
41999,1610612739,Cleveland Cavaliers,82,32,50,0.39,3971,97.9,100.9,-3,0.652,1.36,17.5,0.281,0.712,0.494,0.176,0.468,0.516,98.42,0.475,10,Cleveland Cavaliers
41999,1610612742,Dallas Mavericks,82,40,42,0.488,3946,103.8,104.5,-0.7,0.567,1.61,16.8,0.255,0.661,0.459,0.14,0.49,0.532,97.39,0.493,10,Dallas Mavericks
41999,1610612743,Denver Nuggets,82,35,47,0.427,3971,100.8,102.8,-2,0.625,1.49,17.3,0.292,0.716,0.502,0.159,0.476,0.517,97.38,0.483,10,Denver Nuggets
41999,1610612765,Detroit Pistons,82,42,40,0.512,3966,104.6,103.1,1.6,0.561,1.33,15.9,0.268,0.716,0.493,0.159,0.492,0.548,98.19,0.506,10,Detroit Pistons
41999,1610612744,Golden State Warriors,82,19,63,0.232,3951,96.9,105.8,-8.9,0.618,1.42,16.5,0.326,0.691,0.497,0.161,0.444,0.484,98,0.431,10,Golden State Warriors
41999,1610612745,Houston Rockets,82,34,48,0.415,3966,101.6,103.1,-1.5,0.591,1.24,16.4,0.291,0.716,0.508,0.178,0.494,0.536,96.84,0.49,10,Houston Rockets
41999,1610612754,Indiana Pacers,82,56,26,0.683,3946,105.9,100.8,5.2,0.609,1.6,17.6,0.249,0.715,0.491,0.148,0.503,0.552,95.55,0.534,10,Indiana Pacers
41999,1610612746,Los Angeles Clippers,82,15,67,0.183,3940,95.2,107.3,-12.2,0.514,1.12,14.3,0.261,0.696,0.471,0.167,0.458,0.499,96.48,0.411,10,Los Angeles Clippers
41999,1610612747,Los Angeles Lakers,82,67,15,0.817,3961,104.6,95.6,9,0.612,1.68,17.6,0.306,0.731,0.521,0.145,0.484,0.525,95.83,0.573,10,Los Angeles Lakers
41999,1610612748,Miami Heat,82,52,30,0.634,3966,102.2,97.7,4.5,0.649,1.57,18.5,0.282,0.729,0.516,0.162,0.495,0.533,92.2,0.543,10,Miami Heat
