SEASON_ID,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PTS,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE
42011,1610612748,Miami Heat,66,46,20,0.697,48.6,37.1,79.0,0.469,5.6,15.6,0.359,18.8,24.2,0.775,10.4,31.2,41.6,20.0,15.2,8.9,5.4,4.2,19.4,98.5,6.0,104.3,97.1,7.2,0.538,1.31,16.0,0.266,0.739,0.511,0.161,0.505,0.549,93.66,0.553
42011,1610612749,Milwaukee Bucks,66,31,35,0.47,48.1,37.9,85.6,0.443,6.6,19.2,0.345,16.6,21.4,0.774,12.4,30.0,42.5,23.5,14.1,8.3,5.1,4.5,19.3,99.0,0.3,102.4,102.4,0.0,0.62,1.67,17.7,0.277,0.709,0.487,0.146,0.481,0.521,96.42,0.503
42011,1610612750,Minnesota Timberwolves,66,26,40,0.394,48.3,35.7,82.3,0.433,7.2,21.6,0.332,19.4,25.2,0.771,12.1,31.7,43.7,19.5,15.2,6.6,4.4,5.7,18.4,97.9,-2.2,101.5,103.6,-2.2,0.548,1.29,15.3,0.275,0.73,0.502,0.157,0.477,0.524,95.96,0.483
42011,1610612751,New Jersey Nets,66,22,44,0.333,48.2,34.3,80.6,0.425,7.7,22.4,0.342,16.9,21.7,0.777,11.9,28.5,40.3,19.9,15.1,7.5,3.9,5.0,19.2,93.1,-6.0,99.7,106.9,-7.2,0.58,1.32,15.9,0.278,0.707,0.486,0.161,0.473,0.516,92.71,0.448
42011,1610612740,New Orleans Hornets,66,21,45,0.318,48.3,34.8,77.3,0.451,3.9,11.8,0.333,16.0,21.2,0.757,11.0,30.2,41.1,20.7,15.5,7.4,4.8,5.8,20.1,89.6,-3.8,98.3,102.3,-4.0,0.595,1.34,16.9,0.275,0.731,0.507,0.17,0.476,0.517,90.67,0.482
42011,1610612752,New York Knicks,66,36,30,0.545,48.3,35.8,80.8,0.443,7.8,23.3,0.336,18.3,24.8,0.741,11.3,30.5,41.7,20.1,16.0,9.4,4.2,5.1,21.1,97.8,3.2,101.4,98.4,3.0,0.562,1.26,15.7,0.266,0.737,0.499,0.166,0.492,0.533,95.7,0.52
42011,1610612760,Oklahoma City Thunder,66,47,19,0.712,48.5,37.3,79.2,0.471,7.2,20.0,0.358,21.3,26.4,0.806,11.0,32.7,43.7,18.5,16.3,7.5,8.2,4.9,20.5,103.1,6.1,107.1,100.0,7.2,0.497,1.13,14.7,0.278,0.721,0.514,0.17,0.516,0.567,95.68,0.542
42011,1610612753,Orlando Magic,66,37,29,0.561,48.4,34.5,78.2,0.441,10.2,27.0,0.375,15.1,22.8,0.66,11.2,31.2,42.5,20.0,14.9,6.8,4.2,4.1,17.7,94.2,0.8,102.4,101.7,0.7,0.581,1.34,16.2,0.265,0.755,0.507,0.162,0.506,0.533,91.15,0.493
42011,1610612755,Philadelphia 76ers,66,35,31,0.53,48.2,37.4,83.6,0.448,5.3,14.6,0.362,13.5,18.2,0.742,10.7,32.5,43.2,22.0,11.2,8.0,5.2,4.8,17.5,93.6,4.2,101.7,96.6,5.1,0.588,1.97,17.6,0.244,0.752,0.497,0.121,0.48,0.511,91.88,0.532
42011,1610612756,Phoenix Suns,66,33,33,0.5,48.0,37.8,82.5,0.458,6.7,19.6,0.343,16.0,21.2,0.757,10.9,30.8,41.7,22.5,14.1,6.5,5.5,4.4,18.7,98.4,-0.2,103.5,103.8,-0.2,0.596,1.6,17.5,0.258,0.717,0.49,0.148,0.499,0.536,95.02,0.502
