SEASON_ID,TEAM_ID,GROUP_SET,PLAYER_ID,PLAYER_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,PER
41996,1610612766,Players,55,Marty Conlon,74,13,61,0.176,22.5,2.9,6.1,0.471,0.0,0.1,0.2,1.9,2.3,0.842,1.7,2.6,4.4,1.4,1.5,0.6,0.2,0.6,2.0,0.0,7.8,-3.2,5,0,13.6549430078
41996,1610612766,Players,1138,Michael Hawkins,29,3,26,0.103,11.7,1.0,2.3,0.426,0.3,1.1,0.323,0.4,0.5,0.8,0.3,0.8,1.1,2.2,1.0,0.6,0.0,0.1,1.3,0.0,2.8,-1.8,0,0,11.1115884532
41996,1610612766,Players,1041,Nate Driggers,15,3,12,0.2,9.2,0.9,2.9,0.302,0.0,0.6,0.0,0.7,0.9,0.714,0.8,0.7,1.5,0.4,0.4,0.2,0.1,0.4,0.7,0.0,2.4,-4.5,0,0,7.40718586889
41996,1610612766,Players,442,Pervis Ellison,6,1,5,0.167,21.1,1.0,2.7,0.375,0.0,0.0,0.0,0.5,0.8,0.6,1.5,2.8,4.3,0.7,1.2,0.8,1.5,0.3,3.2,0.0,2.5,1.3,0,0,6.35269801031
41996,1610612766,Players,296,Rick Fox,76,14,62,0.184,35.9,5.7,12.5,0.456,1.3,3.7,0.363,2.7,3.5,0.787,1.5,3.7,5.2,3.8,2.3,2.2,0.5,1.1,3.4,0.0,15.4,-4.6,4,0,18.3954692044
41996,1610612766,Players,351,Stacey King,5,1,4,0.2,7.0,1.0,1.4,0.714,0.0,0.0,0.0,0.4,0.6,0.667,0.2,1.6,1.8,0.2,0.2,0.0,0.2,0.2,0.6,0.0,2.4,-2.4,0,0,17.3210530568
41996,1610612766,Players,984,Steve Hamer,35,4,31,0.114,8.0,0.9,1.6,0.526,0.0,0.1,0.0,0.5,0.8,0.552,0.5,1.2,1.7,0.2,0.4,0.1,0.1,0.2,1.0,0.0,2.2,0.0,0,0,10.5938484762
41996,1610612766,Players,103,Todd Day,81,14,67,0.173,29.2,4.9,12.3,0.398,1.6,4.3,0.362,3.2,4.1,0.773,1.3,2.7,4.1,1.4,1.6,1.3,0.6,0.8,2.5,0.0,14.5,-3.6,1,0,17.0155761794
41996,1610612741,Players,82,Bill Wennington,61,53,8,0.869,13.2,1.9,3.9,0.498,0.0,0.0,0.0,0.7,0.9,0.83,0.8,1.4,2.1,0.7,0.5,0.2,0.2,0.1,2.0,0.0,4.6,1.7,1,0,11.2961357058
41996,1610612741,Players,183,Bison Dele,9,6,3,0.667,16.1,2.9,7.0,0.413,0.0,0.0,0.0,1.2,1.7,0.733,1.6,2.1,3.7,1.3,1.2,0.3,0.6,0.7,2.2,0.0,7.0,-0.3,0,0,13.8688194609
